District,Mandal,Year,Month,total_rain_mm,rain_days,max_daily_rain,avg_min_humidity,avg_max_humidity,max_dry_streak,normal_rain_mm,rain_deviation_pct,drought_risk_score,drought_risk_level,prev_month_rain,prev_month_risk_score,target_encoded
Adilabad,Bela,2024,4,18.2,5,10.7,20.80666666666667,72.32333333333332,11,17.4,4.6,19.3,NORMAL,8.0,29.3,2
Adilabad,Bela,2024,5,18.1,5,6.8,20.96451612903226,68.09677419354838,13,46.800000000000004,-61.3,47.1,MODERATE,18.2,19.3,1
Adilabad,Bela,2024,6,206.2,16,48.4,40.92333333333333,88.86333333333333,11,150.96666666666667,36.6,14.3,NORMAL,18.1,47.1,2
Adilabad,Bela,2024,7,427.2,28,78.3,74.35483870967742,97.8225806451613,1,426.1666666666667,0.2,1.7,NORMAL,206.2,14.3,2
Adilabad,Bela,2024,8,118.7,20,32.8,69.88709677419355,97.82903225806452,3,211.76666666666668,-43.9,21.2,MILD,427.2,1.7,0
Adilabad,Bela,2024,9,160.9,13,75.0,74.58999999999999,97.11999999999999,7,248.26666666666668,-35.2,21.9,MILD,118.7,21.2,0
Adilabad,Bela,2024,10,21.2,6,13.6,63.0774193548387,96.99677419354839,11,43.5,-51.3,32.4,MILD,160.9,21.9,0
Adilabad,Bela,2024,11,0.0,0,0.0,45.47666666666667,91.48666666666666,40,10.833333333333334,-100.0,72.6,SEVERE,21.2,32.4,3
Adilabad,Bela,2024,12,4.1,2,3.6,51.37096774193548,92.66774193548386,46,1.8666666666666665,119.6,32.2,MILD,0.0,72.6,0
Adilabad,Bela,2025,1,0.0,0,0.0,37.41612903225807,86.61290322580645,34,0.675,-100.0,74.0,SEVERE,4.1,32.2,3
